accession	tier	subtree_annotations	evidence_codes
P30626	1	GO:0030018(IDA:BHF-UCL)	IDA
P30711	2		
P30740	2		
P30837	2		
P30876	2		
P31025	2		
P31040	2		
P31150	2		
P31151	2		
P31153	2		
P31323	2		
P31327	2		
P31415	1	GO:0030018(IBA:GO_Central)	IBA
P31431	1	GO:0043034(IEA:Ensembl)	IEA
P31689	2		
P31749	2		
P31751	2		
P31930	2		
P31937	2		
P31939	2		
P31942	2		
P31943	2		
P31944	2		
P31946	2		
P31948	2		
P31949	2		
P32119	2		
P32121	2		
P32322	2		
P32418	1	GO:0030018(ISS:BHF-UCL)	ISS
P32455	2		
P32456	2		
P32856	2		
P33121	2		
P33176	2		
P33240	2		
P33316	2		
P33778	2		
P33897	2		
P34896	2		
P34897	2		
P34913	2		
P34932	2		
P34949	2		
P35030	2		
P35052	2		
P35080	2		
P35221	2		
P35222	1	GO:0030018(IEA:Ensembl)	IEA
P35232	2		
P35237	2		
P35241	2		
P35244	2		
P35268	2		
P35269	2		
P35270	2		
P35321	2		
P35443	2		
P35498	1	GO:0030018(ISS:BHF-UCL)	ISS
P35499	2		
P35520	2		
P35555	2		
P35568	2		
P35573	2		
P35579	2		
P35580	2		
P35606	2		
P35609	1	GO:0030018(IDA:UniProtKB)	IDA
P35611	2		
P35612	2		
P35613	2		
P35625	2		
P35637	2		
P35658	2		
P35659	2		
P35754	2		
P35813	2		
P35914	2		
P35998	2		
P36404	2		
P36405	2		
P36507	2		
P36542	2		
P36543	2		
P36551	2		
P36578	2		
P36776	2		
P36871	2		
P36873	2		
P36915	2		
P36952	2		
P36955	2		
P36957	2		
P36959	2		
P37108	2		
P37198	2		
P37235	2		
P37802	2		
P37837	2		
P38117	2		
P38159	2		
P38435	2		
P38606	2		
P38646	2		
P38919	2		
P39019	2		
P39023	2		
P39059	2		
P39060	2		
P39656	2		
P39687	2		
P39748	2		
P40123	2		
P40222	2		
P40227	2		
P40261	2		
P40337	2		
P40429	2		
P40616	2		
P40763	2		
P40855	2		
P40925	2		
P40926	2		
P40937	2		
P40939	2		
P41091	2		
P41218	2		
P41226	2		
P41236	2		
P41240	2		
P41250	2		
P41252	2		
P41567	2		
P42025	2		
P42126	2		
P42224	2		
P42226	2		
P42229	2		
P42345	2		
P42357	2		
P42566	2		
P42677	2		
P42704	2		
P42765	2		
P42766	2		
P42898	2		
P43007	2		
P43034	2		
P43121	2		
P43155	2		
P43243	2		
P43246	2		
P43251	2		
P43304	2		
P43307	2		
P43487	2		
P43490	2		
P43652	2		
P43686	2		
P43897	2		
P45378	1	GO:0005861(IDA:UniProtKB)	IDA
P45379	1	GO:0097512(IDA:CAFA);GO:1990584(IDA:CAFA);GO:0030017(TAS:BHF-UCL);GO:0005865(IDA:UniProtKB);GO:0005861(IDA:UniProtKB)	IDA;TAS
P45381	2		
P45877	2		
P45880	2		
P45954	2		
P45973	2		
P45974	2		
P45985	2		
P46019	2		
P46020	2		
P46060	2		
P46063	2		
P46087	2		
P46108	2		
P46109	2		
P46199	2		
P46379	2		
P46459	2		
P46734	2		
P46736	2		
P46776	2		
P46777	2		
P46778	2		
P46779	2		
P46781	2		
P46782	2		
P46783	2		
P46821	2		
P46926	2		
P46939	2		
P46940	2		
P46976	2		
P46977	2		
P47755	2		
P47756	1	GO:0030017(IEA:UniProtKB-SubCell)	IEA
P47813	2		
P47914	2		
P47985	2		
P48047	2		
P48059	2		
P48163	2		
P48444	2		
P48449	2		
P48507	2		
P48509	2		
P48556	2		
P48594	2		
P48637	2		
P48643	2		
P48681	2		
P48730	2		
P48735	2		
P48739	2		
P48788	1	GO:0005861(IDA:UniProtKB)	IDA
P49023	2		
P49069	2		
P49137	2		
P49189	2		
P49207	2		
P49247	2		
P49257	1	GO:0030017(IEA:Ensembl)	IEA
P49321	2		
P49327	2		
P49356	2		
P49368	2		
P49406	2		
P49411	2		
P49419	2		
